row_index,column,clean_value,dirty_value,error_type
0,IMEI,860000000000017,0000000000000,长度错误
0,上网认证帐号,auth_500000@access.example.cn,auth 500000@access.example.cn,分隔符误写
0,上网认证类型,9999,9999.0,数字格式错误
0,关联纬度,29.400000,999.999999,值域错误
0,关联经度,106.400000,"106,400000",小数点误写
0,域名,mail0.example.cn,mail0example.cn,少写符号
0,基站编号,BS500000000001,BS50000000000,少写字符
0,截获时间,1773545620,177354562,少写数字
0,源IPv6,2409:8961:2b28:1079:90cf:37ff:fecf:b809,2409:::8961:2b28:1079:90cf:37ff:fecf:b809,格式错误
0,用户ID,13102662770942104,1310266277094210,少写字符
0,邮件中发件人信息,noreply@steampowered.com,noreply@steampoweredcom,少写符号
1,关联纬度,29.400100,,漏写
1,基站编号,BS500000000002,,漏写
1,截获时间,1773558096,,漏写
1,源IP,10.1.7.14,,漏写
1,源IPv6,2408:8463:1f00:1f0e:a481:fdff:feff:f679,,漏写
1,用户名,gtang@tang.wuaze.com,gtang@tang.wuaze.com_wrong,写错内容
1,邮件中发件人信息,sender000002@example.cn,sender000002@examplecn,少写符号
2,域名,mail2.example.cn,mail2example.cn,少写符号
2,数据来源,144,144.0,数字格式错误
2,源IP,10.2.14.27,10-2-14-27,格式错误
2,用户ID,uid_100002,uid_10000,少写字符
2,用户名,user_000003,user_00000,少写字符
2,邮件中发件人信息,sender000003@example.cn,unknown@example,域名不完整
2,邮件中收件人信息,receiver000003@example.cn,,漏写
3,IMEI,860000000000041,,漏写
3,IMSI,460031000000003,46003100000000,少写数字
3,上网认证帐号,auth_500003@access.example.cn,auth_500003@access.example.c,少写字符
3,关联经度,106.400300,106.4003,精度缺失
3,基站类型,4,,漏写
3,数据来源,111,,漏写
3,源IPv6,2408:8362:8460:47f4:6c58:acc4:811f:3888,2408:::8362:8460:47f4:6c58:acc4:811f:3888,格式错误
4,IMEI,860000000000058,,漏写
4,上网认证帐号,auth_500004@access.example.cn,,漏写
4,上网认证类型,9999,99999,重复录入
4,关联经度,106.400400,"106,400400",小数点误写
4,用户名,user_000005,,漏写
5,上网认证帐号,auth_500005@access.example.cn,auth 500005@access.example.cn,分隔符误写
5,关联纬度,29.400500,"29,400500",小数点误写
5,关联经度,106.400500,106.4005,精度缺失
5,域名,mail5.example.cn,localhost,域名不完整
5,截获时间,1773547894,00000000,长度错误
5,数据来源,802,未知,值域错误
5,用户ID,uid_100005,uid_100005_wrong,写错内容
5,用户名,user_000006,user 000006,分隔符误写
6,IMEI,860000000000074,860000000000074x,混入字母
6,上网认证帐号,auth_500006@access.example.cn,,漏写
6,关联纬度,29.400600,,漏写
6,关联经度,106.400600,106.4006,精度缺失
6,邮件中发件人信息,creditcard@service.pingan.com,creditcard@servicepingan.com,少写符号
6,邮件中收件人信息,364568483@qq.com,,漏写
7,上网认证帐号,auth_500007@access.example.cn,auth_500007@access.example.cn_wrong,写错内容
7,基站编号,BS500000000008,,漏写
7,数据来源,124,1244,重复录入
7,源IP,10.7.49.92,10.7.49.9,少写字符
7,用户名,user_000008,,漏写
7,邮件中发件人信息,noreply@steampowered.com,noreply at steampowered.com,邮箱格式错误
8,上网认证类型,9999,未知,值域错误
8,关联纬度,29.400800,"29,400800",小数点误写
8,域名,mail8.example.cn,mail8example.cn,少写符号
8,基站类型,4,,漏写
8,数据来源,802,8022,重复录入
8,源IPv6,2409:8961:863c:229d:d83d:b9ff:fe0c:daf1,2409:::bad-ipv6,值域错误
9,关联纬度,29.400900,999.999999,值域错误
9,基站编号,BS500000000010,,漏写
9,截获时间,1773511158,1773511158x,混入字母
9,邮件中发件人信息,wwe2K@newsletter.2k.com,wwe2K@newsletter2k.com,少写符号
10,上网认证类型,9999,99999,重复录入
10,基站类型,1,,漏写
10,源IP,10.10.70.131,10-10-70-131,格式错误
10,源IPv6,2408:8462:4800:283d:189c:c411:91d8:be2e,24088462:4800:283d:189c:c411:91d8:be2e,少写分隔符
10,用户ID,13102664343339632,,漏写
10,用户名,user_000011,user_00001,少写字符
10,邮件中发件人信息,music@tencent.com,,漏写
10,邮件中收件人信息,3318465136@qq.com,unknown@example,域名不完整
11,IMEI,860000000000124,86000000000012,少写数字
11,上网认证帐号,auth_500011@access.example.cn,,漏写
11,关联纬度,29.401100,"29,401100",小数点误写
11,截获时间,1773538826,,漏写
11,数据来源,111,111.0,数字格式错误
11,源IP,10.11.77.144,999.999.999.999,值域错误
11,用户ID,13102663810664370,13102663810664370_wrong,写错内容
11,用户名,user_000012,user_000012_wrong,写错内容
11,邮件中发件人信息,service@mail15.lietou-edm.com,service at mail15.lietou-edm.com,邮箱格式错误
11,邮件中收件人信息,2785789874@qq.com,,漏写
12,IMEI,860000000000132,86000000000013,少写数字
12,IMSI,460021000000012,46002100000001,少写数字
12,上网认证帐号,auth_500012@access.example.cn,auth_500012@access.example.c,少写字符
12,上网认证类型,1008,未知,值域错误
12,关联经度,106.401200,,漏写
12,截获时间,1773544552,1773544552x,混入字母
12,数据来源,144,1444,重复录入
12,源IP,10.12.84.157,,漏写
12,用户ID,uid_100012,uid_10001,少写字符
12,用户名,user_000013,user_000013_wrong,写错内容
12,邮件中发件人信息,sender000013@example.cn,,漏写
13,IMEI,860000000000140,,漏写
13,上网认证类型,9999,99999,重复录入
13,域名,mail13.example.cn,mail13。example.cn,中英文符号混用
13,基站编号,BS500000000014,BS50000000001,少写字符
13,数据来源,802,未知,值域错误
13,源IPv6,2409:8961:862b:3b63:b81a:a3ff:fee7:8237,2409:::8961:862b:3b63:b81a:a3ff:fee7:8237,格式错误
13,用户名,user_000014,user 000014,分隔符误写
13,邮件中收件人信息,xg2790580184@qq.com,xg2790580184 at qq.com,邮箱格式错误
14,IMEI,860000000000157,,漏写
14,上网认证帐号,auth_500014@access.example.cn,auth_500014@access.example.c,少写字符
14,关联纬度,29.401400,999.999999,值域错误
14,关联经度,106.401400,"106,401400",小数点误写
14,基站编号,BS500000000015,BS500000000015 wrong,分隔符误写
14,截获时间,1773577063,177357706,少写数字
14,源IPv6,2409:8961:dcb:1a3:a37c:3c71:dddb:de21,2409:::8961:dcb:1a3:a37c:3c71:dddb:de21,格式错误
14,用户名,user_000015,user_000015_wrong,写错内容
14,邮件中收件人信息,receiver000015@example.cn,receiver000015 at example.cn,邮箱格式错误
15,IMSI,460051000000015,460051000000015x,混入字母
15,上网认证帐号,auth_500015@access.example.cn,auth_500015@access.example.cn_wrong,写错内容
15,上网认证类型,9999,99999,重复录入
15,关联纬度,29.401500,29.4015,精度缺失
15,域名,mail15.example.cn,mail15example.cn,少写符号
15,基站类型,1,11,重复录入
15,源IP,10.15.105.196,10-15-105-196,格式错误
15,源IPv6,2409:8961:5c17:2581:185e:60ff:fe0d:ab0,2409:::bad-ipv6,值域错误
15,邮件中发件人信息,no-reply@appmail.chsi.com.cn,,漏写
16,IMEI,860000000000173,86000000000017,少写数字
16,上网认证帐号,auth_500016@access.example.cn,,漏写
16,域名,logininterface.mail.10086.cn,,漏写
16,截获时间,1773511389,1773511389x,混入字母
16,数据来源,124,,漏写
16,源IP,10.16.112.209,,漏写
16,源IPv6,2409:8961:5c24:5ac4:746d:7fff:fece:ca35,24098961:5c24:5ac4:746d:7fff:fece:ca35,少写分隔符
16,邮件中发件人信息,sender000017@example.cn,sender000017 at example.cn,邮箱格式错误
17,上网认证帐号,auth_500017@access.example.cn,auth 500017@access.example.cn,分隔符误写
17,上网认证类型,9999,99999,重复录入
17,关联经度,106.401700,,漏写
17,域名,mail17.example.cn,mail17example.cn,少写符号
17,截获时间,1773506789,177350678,少写数字
17,数据来源,802,,漏写
17,源IPv6,2408:8462:ec20:17b2:fcc7:c8ff:fe63:84ae,,漏写
18,IMSI,460081000000018,,漏写
18,上网认证帐号,auth_500018@access.example.cn,,漏写
18,关联经度,106.401800,106.4018,精度缺失
18,域名,mail18.example.cn,,漏写
